Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,SP500,spread_mat,Mom,default_spread
2006-02-28,0.0034,0.0118,0.0156,0.005,0.0034,0.0021,0.0043,0.0058,0.0006,0.0123,0.0014,-0.0262,0.0069,0.000452704383334445,0.006604347826086959,-1.84,0.05815652173913043
2006-03-31,0.0182,0.0148,0.0137,0.0162,0.015,0.0173,0.0135,0.0097,0.0057,0.0106,0.0245,0.0408,0.0205,0.0110595727545463,0.007545000000000003,1.26,0.05250499999999999
2006-04-30,0.0222,0.0075,0.0382,0.0202,0.0175,0.0152,0.0201,0.003,0.0205,0.0286,0.0234,0.0292,0.0158,0.0121900369925609,0.007743478260869567,0.64,0.04956956521739128
2006-05-31,-0.013,0.0076,-0.0502,0.0082,-0.0009,0.0039,-0.0043,-0.0015,0.0081,-0.006,-0.0284,-0.027,-0.0011,-0.030918458774866903,0.00685454545454546,-3.7,0.05293636363636363
2006-06-30,-0.0011,0.0035,-0.0014,0.0027,0.0075,0.0076,0.0078,0.002,0.0062,0.0044,-0.0101,-0.0204,0.0,9.015110585108839e-05,0.0064523809523809456,1.54,0.05741428571428572
2006-07-31,0.0029,0.0079,0.0199,0.0126,0.0004,-0.0009,0.0011,0.0046,0.0024,0.0136,-0.0005,-0.0243,0.0019,0.005082725668618781,0.006313043478260873,-2.12,0.05866521739130435
2006-08-31,0.0085,0.0101,0.0142,0.0031,0.0105,0.0115,0.0103,0.0035,-0.0002,-0.0077,0.0154,0.0139,0.0058,0.02127276760523,0.00608636363636364,-3.38,0.0587090909090909
2006-09-30,0.0013,0.0115,-0.0045,0.002,0.006,0.005,0.0069,0.0022,-0.0002,0.0002,0.0009,-0.0115,0.0032,0.024565152281548198,0.006131818181818183,-0.96,0.05559999999999999
2006-10-31,0.0177,0.0068,0.0286,0.0039,0.0223,0.0265,0.0208,-0.0016,0.0074,0.0108,0.0219,0.0173,0.0161,0.0315122914525392,0.0054045454545454535,-0.2,0.05234545454545454
2006-11-30,0.0207,0.0106,0.0315,0.0097,0.0209,0.0159,0.0239,0.0301,0.0116,0.0144,0.026,0.0222,0.0226,0.0164678848015873,0.005847619047619053,-1.03,0.0482809523809524
